WEA.Gas.TearGas	tear gas, lachrymator agent, lachrymator,
CRM.ViolentCrime.Terrorism	terrorism, crimes of terror, terroristic threat, state terrorism, domestic terrorism, international terrorism, civil disorder, political terrorism, non-political terrorism, quasi-terrorism
CRM.BehaviorCrime	theft, stealing
VEH.MilitaryVehicle.MilitaryTransportAircraft	transport aircraft, transport helicopter, chinook
CRM.PoliticalCrime	Violation of sanctions, sanction violation
FAC.Building.VotingFacility	voting booth, polling place, vote center, voting center
COM.Equipment.MedicalEquipment	wheel chair, hospital bed, gurney, stretcher, bandage, oxygen, oxygen tank, crutches
COM.Wreckage.Wreckage	wreckage, rubble
VEH.Watercraft.Yacht	yacht, motor yacht, sailing yacht, expedition yacht, catamaran
ORG.Government.LawEnforcementAgency	security forces
PER.Combatant	militant, rebels, fighters, insurgents, assailants, extremists, bomber, separatists, terrorist, militia, goons, rivals
ORG.Government	government
WEA.Bullets	bullets, bullet
PER.ProfessionalPosition	authorities, judges, lawyer, professionals, experts
SID.Political.Opposition	the opposition
PER.MilitaryPersonnel.MilitaryOfficer	captain
WEA.Bomb	bomb
PER.Politician	politician, congressman
